,No.,District,White %,Jun,Jul,Aug,Sep
0,18,Near North,75,166,165,147,160
1,19,Town Hall,75,247,199,224,216
2,16,Jefferson Park,69,195,146,179,169
3,20,Li ncoln/Foster,54,139,166,171,172
4,1,Central,52,144,137,151,142
5,24,Rogers Park,42,158,175,167,155
6,14,Shakespeare,42,221,238,236,206
7,12,Monroe,40,254,231,254,291
8,17,Albany Park,38,150,147,176,156
9,22,Morgan Park,34,235,227,234,283
10,8,Chicago Lawn,20,258,277,270,264
11,2,Wentworth,18,179,188,191,185
12,9,Deering,14,245,247,277,257
13,25,Grand Central,14,251,269,297,263
14,4,South Chicago,8,368,491,343,354
15,10,Ogden,3,234,270,299,325
16,11,Harrison,2,174,218,230,224
17,3,Grand Crossing,2,509,641,665,528
18,15,Austin,1,240,260,280,269
19,5,Calumet,1,359,363,340,439
20,7,Englewood,0,180,218,259,208
21,6,Gresham,0,323,335,299,322
